Players_ID,Player_Name,Name,Surname,DOB,Turned pro,Weight,Height,Birth place,key,Nationality,Strong_hand,Weak_hand
101792,slava dosedel,Slava,Dosedel,1970-08-14,1989,79,183, Czech Republic,slava dosedel,CZE, Right-Handed,
102358,thomas enqvist,Thomas,Enqvist,1974-03-13,1991,88,191, Sweden,thomas enqvist,SWE, Right-Handed, Two-Handed Backhand
102765,nicolas escude,Nicolas,Escude,1976-04-03,1995,70,185, France,nicolas escude,FRA, Right-Handed,
103819,roger federer,Roger,Federer,1981-08-08,1998,85,185, Switzerland,roger federer,SUI, Right-Handed, One-Handed Backhand
101735,richard fromberg,Richard,Fromberg,1970-04-28,1988,88,196, Australia,richard fromberg,AUS, Right-Handed,
102998,jan michael gambill,Jan-Michael,Gambill,1977-06-03,1996,88,191, USA,jan michael gambill,USA, Right-Handed,
103206,sebastien grosjean,Sebastien,Grosjean,1978-05-29,1996,73,175, France,sebastien grosjean,FRA, Right-Handed, Two-Handed Backhand
102450,tim henman,Tim,Henman,1974-09-06,1993,77,185, England,tim henman,GBR, Right-Handed, One-Handed Backhand
103720,lleyton hewitt,Lleyton,Hewitt,1981-02-24,1998,77,178, Australia,lleyton hewitt,AUS, Right-Handed, Two-Handed Backhand
103444,jean rene lisnard,Jean-Rene,Lisnard,1979-09-25,1997,68,173, France,jean rene lisnard,MON, Right-Handed, One-Handed Backhand
103252,alberto martin,Alberto,Martin,1978-08-20,1995,73,175, Spain,alberto martin,ESP, Right-Handed, One-Handed Backhand
102796,magnus norman,Magnus,Norman,1976-05-30,1995,89,188, Sweden,magnus norman,SWE, Right-Handed, Two-Handed Backhand
103162,dejan petrovic,Dejan,Petrovic,1978-04-03,,,,,dejan petrovic,SRB, Right-Handed,
102872,james sekulov,James,Sekulov,1976-10-13,1995,73,180, Australia,james sekulov,AUS, Right-Handed,
101727,jason stoltenberg,Jason,Stoltenberg,1970-04-04,1987,80,185, Australia,jason stoltenberg,AUS, Right-Handed,
102652,christian vinck,Christian,Vinck,1975-09-03,1993,75,183, Germany,christian vinck,GER, Left-Handed,
101086,ronald agenor,Ronald,Agenor,1964-11-13,1983,82,180, Morocco,ronald agenor,USA, Right-Handed,
102494,tomas behrend,Tomas,Behrend,1974-12-12,1994,89,193, Brazil,tomas behrend,GER, Right-Handed,
102093,martin damm,Martin,Damm,1972-08-01,1990,88,188, Czech Republic,martin damm,CZE, Right-Handed,
102965,jamie delgado,Jamie,Delgado,1977-03-21,1995,70,178, England,jamie delgado,GBR, Right-Handed,
102259,jerome golmard,Jerome,Golmard,1973-09-09,1993,77,188, France,jerome golmard,FRA, Left-Handed,
103082,markus hantschk,Markus,Hantschk,1977-11-19,1996,85,188, Germany,markus hantschk,GER, Right-Handed,
102966,fredrik jonsson,Fredrik,Jonsson,1977-03-28,1996,82,193, Sweden,fredrik jonsson,SWE, Right-Handed,
102538,tuomas ketola,Tuomas,Ketola,1975-02-21,1994,77,185, Finland,tuomas ketola,FIN, Right-Handed,
102455,lorenzo manta,Lorenzo,Manta,1974-09-16,1992,82,191, Switzerland,lorenzo manta,SUI, Right-Handed,
102233,leander paes,Leander,Paes,1973-06-17,1991,78,178, India,leander paes,IND, Right-Handed, One-Handed Backhand
101611,cedric pioline,Cedric,Pioline,1969-06-15,1989,79,188, France,cedric pioline,FRA, Right-Handed,
102106,davide sanguinetti,Davide,Sanguinetti,1972-08-25,1993,79,188, Italy,davide sanguinetti,ITA, Right-Handed, Two-Handed Backhand
101969,orlin stanoytchev,Orlin,Stanoytchev,1971-09-24,1993,82,185, Bulgaria,orlin stanoytchev,BUL, Right-Handed,
